application_id,fraud_category
AS202526000194690,AGE_VIOLATION
MN202526000137973,AGE_VIOLATION
AS202526000216757,AGE_VIOLATION
HR202526000043942,AGE_VIOLATION
BR202526000129708,AGE_VIOLATION
BR202526000138832,AGE_VIOLATION
OR202526000090892,AGE_VIOLATION
MH202526001455457,AGE_VIOLATION
AS202526000100586,AGE_VIOLATION
AS202526000075657,AGE_VIOLATION
AS202526000031636,AGE_VIOLATION
BR202526000108479,AGE_VIOLATION
BR202526000207358,AGE_VIOLATION
KL202526000132336,AGE_VIOLATION
UT202526000138722,AGE_VIOLATION
AS202526000142079,AGE_VIOLATION
AS202526000149671,AGE_VIOLATION
AS202526000189763,AGE_VIOLATION
BR202526000208455,AGE_VIOLATION
AS202526000118712,AGE_VIOLATION
BR202526000077789,AGE_VIOLATION
BR202526000144873,AGE_VIOLATION
TR202526000068564,AGE_VIOLATION
AS202526000167304,AGE_VIOLATION
PB202526000008334,AGE_VIOLATION
JK202526000066172,AGE_VIOLATION
MH202526000105553,AGE_VIOLATION
BR202526000144454,AGE_VIOLATION
GJ202526000152162,AGE_VIOLATION
TS202526001908019,AGE_VIOLATION
AS202526000044247,AGE_VIOLATION
HP202526000085948,AGE_VIOLATION
HP202526000091602,AGE_VIOLATION
HR202526000166023,AGE_VIOLATION
OR202526000021916,AGE_VIOLATION
TN202526000162067,AGE_VIOLATION
BR202526000038803,AGE_VIOLATION
PB202526000062451,AGE_VIOLATION
TS202526000228093,AGE_VIOLATION
AS202526000128616,AGE_VIOLATION
OR202526000179219,AGE_VIOLATION
MH202526000120640,AGE_VIOLATION
TS202526001433539,AGE_VIOLATION
OR202526000274793,AGE_VIOLATION
AS202526000209577,AGE_VIOLATION
NL202526000229812,AGE_VIOLATION
UP202526000016137,AGE_VIOLATION
TS202526001881391,AGE_VIOLATION
BR202526000025935,AGE_VIOLATION
MP202526000101233,AGE_VIOLATION
MN202526000218857,AGE_VIOLATION
BR202526000052142,AGE_VIOLATION
BR202526000089149,AGE_VIOLATION
AS202526000221244,AGE_VIOLATION
HP202526000191737,AGE_VIOLATION
AS202526000090662,AGE_VIOLATION
KA202526000195941,AGE_VIOLATION
BR202526000183045,AGE_VIOLATION
WB202526000059676,AGE_VIOLATION
PB202526000229532,AGE_VIOLATION
WB202526000091169,AGE_VIOLATION
TS202526001418158,AGE_VIOLATION
TS202526001772202,AGE_VIOLATION
BR202526000191156,AGE_VIOLATION
AS202526000145355,AGE_VIOLATION
BR202526000042778,AGE_VIOLATION
AS202526000146511,AGE_VIOLATION
WB202526000100285,AGE_VIOLATION
AS202526000157861,AGE_VIOLATION
BR202526000171439,AGE_VIOLATION
TN202526000196276,AGE_VIOLATION
GJ202526000149923,AGE_VIOLATION
MH202526000182091,AGE_VIOLATION
MH202526000181911,AGE_VIOLATION
HP202526000217769,AGE_VIOLATION
AS202526000146004,AGE_VIOLATION
MP202526001230081,AGE_VIOLATION
HR202526000120126,AGE_VIOLATION
WB202526000078077,AGE_VIOLATION
HP202526000078047,AGE_VIOLATION
AS202526000239034,AGE_VIOLATION
KL202526000088762,AGE_VIOLATION
AS202526000102125,AGE_VIOLATION
KA202526000081154,AGE_VIOLATION
OR202526000097043,AGE_VIOLATION
ML202526000158388,AGE_VIOLATION
AS202526000084542,AGE_VIOLATION
WB202526000112889,AGE_VIOLATION
AS202526000215878,AGE_VIOLATION
AS202526000205628,AGE_VIOLATION
BR202526000196470,AGE_VIOLATION
TR202526000139405,AGE_VIOLATION
PB202526000226617,AGE_VIOLATION
BR202526000147462,AGE_VIOLATION
OR202526001581532,AGE_VIOLATION
AS202526000196540,AGE_VIOLATION
AS202526000134066,AGE_VIOLATION
AS202526000235542,AGE_VIOLATION
AS202526000088125,AGE_VIOLATION
BR202526000100277,AGE_VIOLATION
TN202526000179444,AGE_VIOLATION
AS202526000085317,AGE_VIOLATION
WB202526000057692,AGE_VIOLATION
PB202526000229530,AGE_VIOLATION
MP202526000179505,AGE_VIOLATION
AS202526000081228,AGE_VIOLATION
AS202526000225866,AGE_VIOLATION
KA202526000204492,AGE_VIOLATION
AS202526000147420,AGE_VIOLATION
KL202526000099639,AGE_VIOLATION
UT202526000076773,AGE_VIOLATION
AS202526000099468,AGE_VIOLATION
BR202526000219636,AGE_VIOLATION
GJ202526000114339,AGE_VIOLATION
MP202526000064509,AGE_VIOLATION
HP202526000230485,AGE_VIOLATION
AS202526000099065,AGE_VIOLATION
MP202526000171514,AGE_VIOLATION
MN202526000119777,AGE_VIOLATION
AS202526000204372,AGE_VIOLATION
SK202526000220462,AGE_VIOLATION
MN202526000099941,AGE_VIOLATION
BR202526000233758,AGE_VIOLATION
AS202526000218213,AGE_VIOLATION
HP202526000157991,AGE_VIOLATION
BR202526000226762,AGE_VIOLATION
MH202526000109554,AGE_VIOLATION
MH202526000169155,AGE_VIOLATION
AS202526000154806,AGE_VIOLATION
WB202526000058759,AGE_VIOLATION
TN202526000062855,AGE_VIOLATION
ML202526000158544,AGE_VIOLATION
AS202526000161535,AGE_VIOLATION
KL202526000052614,AGE_VIOLATION
UT202526000170783,AGE_VIOLATION
ML202526000098169,AGE_VIOLATION
PB202526000097208,AGE_VIOLATION
AS202526000047605,AGE_VIOLATION
HP202526000085220,AGE_VIOLATION
AS202526000088678,AGE_VIOLATION
HP202526000127572,AGE_VIOLATION
BR202526000221164,AGE_VIOLATION
AS202526000123658,AGE_VIOLATION
AS202526000191116,AGE_VIOLATION
AS202526000122657,AGE_VIOLATION
BR202526000081776,AGE_VIOLATION
BR202526000236237,AGE_VIOLATION
AS202526000018147,AGE_VIOLATION
AS202526000203726,AGE_VIOLATION
HR202526000128948,AGE_VIOLATION
DD202526000225307,INCOME_VIOLATION
ML202526000131653,INCOME_VIOLATION
MP202526000006763,INCOME_VIOLATION
AS202526000141408,INCOME_VIOLATION
AS202526000075301,INCOME_VIOLATION
AS202526000160041,INCOME_VIOLATION
AS202526000169839,INCOME_VIOLATION
HP202526000155432,INCOME_VIOLATION
BR202526000165453,INCOME_VIOLATION
HP202526000192034,INCOME_VIOLATION
AS202526000158168,INCOME_VIOLATION
KA202526000196555,INCOME_VIOLATION
AS202526000044575,INCOME_VIOLATION
AS202526000041438,INCOME_VIOLATION
AS202526000227994,INCOME_VIOLATION
UT202526000219656,INCOME_VIOLATION
KA202526000071956,INCOME_VIOLATION
TR202526000063235,INCOME_VIOLATION
GJ202526000230687,INCOME_VIOLATION
BR202526000037481,INCOME_VIOLATION
BR202526000129664,INCOME_VIOLATION
OR202526000193516,INCOME_VIOLATION
AS202526000147079,INCOME_VIOLATION
PB202526000165667,INCOME_VIOLATION
AS202526000134671,INCOME_VIOLATION
AS202526000218787,INCOME_VIOLATION
KL202526000088746,INCOME_VIOLATION
TS202526000176837,INCOME_VIOLATION
MN202526000056855,INCOME_VIOLATION
UP202526000128917,INCOME_VIOLATION
KL202526000103993,INCOME_VIOLATION
HP202526000213222,INCOME_VIOLATION
MH202526000220145,INCOME_VIOLATION
BR202526000047631,INCOME_VIOLATION
MZ202526000162400,INCOME_VIOLATION
AS202526000148582,INCOME_VIOLATION
WB202526000104696,INCOME_VIOLATION
AS202526000236410,INCOME_VIOLATION
UT202526000182491,INCOME_VIOLATION
AS202526000176555,INCOME_VIOLATION
AS202526000120344,INCOME_VIOLATION
UT202526000166893,INCOME_VIOLATION
KA202526000174027,INCOME_VIOLATION
AS202526000163340,INCOME_VIOLATION
AS202526000094062,INCOME_VIOLATION
TR202526000180397,INCOME_VIOLATION
KL202526000093452,INCOME_VIOLATION
BR202526000168542,INCOME_VIOLATION
AS202526000191557,INCOME_VIOLATION
BR202526000156237,INCOME_VIOLATION
