application_id,vae_reconstruction_prob,rule_violation_score,rule_codes_fired,lgbm_risk_score,top_shap_features
AS202526000000139,0.98180485,0.0,,0.0011528225804813145,"flag_fee_exceeds_income,x_course_year,c_course_year"
KA202526000000215,0.96421057,1.0,FEE_EXCEED,0.9998911705610131,"flag_fee_exceeds_income,x_course_year,misc_fee"
BR202526000000246,0.9817944,0.0,,0.046698867100576996,"x_university_id,flag_fee_exceeds_income,permanent_pincode"
DL202526000000318,0.93086594,1.0,FEE_EXCEED,0.999762949438629,"flag_fee_exceeds_income,permanent_pincode,x_course_year"
AS202526000000351,0.94760454,0.0,,0.001630844995277105,"c_institution_id,flag_fee_exceeds_income,vae_reconstruction_prob"
AS202526000000328,0.9840547,0.0,,0.004829031362524855,"flag_fee_exceeds_income,vae_reconstruction_prob,x_course_year"
DD202526000000401,0.938338,0.0,,0.001940145778013368,"flag_fee_exceeds_income,permanent_pincode,pay_amt_state_shr"
AS202526000000568,0.9823036,0.0,,0.0005201599783842215,"x_course_year,flag_fee_exceeds_income,x_percentage"
JK202526000000610,0.93347055,0.0,,0.0002662531301732898,"flag_fee_exceeds_income,admission_fee,permanent_pincode"
KA202526001320735,0.9286717,1.0,UW,0.9984546180317969,"flag_income_below_20000,x_course_year,flag_fee_exceeds_income"
RJ202526000000656,0.9151007,1.0,FEE_EXCEED,0.9996317233081573,"flag_fee_exceeds_income,annual_family_income,vae_reconstruction_prob"
KA202526000000645,0.95809007,1.0,FEE_EXCEED,0.9998717833926234,"flag_fee_exceeds_income,tution_fee,permanent_pincode"
WB202526000000650,0.97528934,0.0,,5.8352454525511704e-05,"x_university_id,flag_fee_exceeds_income,name_similarity_score"
SK202526000000669,0.93478155,1.0,UW,0.9989895217934301,"flag_income_below_20000,religion,flag_fee_exceeds_income"
KA202526000000856,0.9600755,1.0,FEE_EXCEED,0.9998533633520928,"flag_fee_exceeds_income,vae_reconstruction_prob,misc_fee"
KL202526000000970,0.9316354,1.0,FEE_EXCEED,0.9998688629830087,"flag_fee_exceeds_income,tution_fee,permanent_pincode"
GJ202526000001252,0.9851086,0.0,,0.000793298609011624,"vae_reconstruction_prob,flag_fee_exceeds_income,permanent_pincode"
RJ202526000818485,0.9572158,0.0,,0.00042715088429685916,"flag_fee_exceeds_income,state_verify_by,permanent_pincode"
UP202526000872580,0.94183505,0.0,,0.0012339475383318403,"permanent_pincode,x_university_id,flag_fee_exceeds_income"
JK202526000001308,0.9270824,2.0,"UW,FEE_EXCEED",0.9999621225207583,"flag_fee_exceeds_income,flag_income_below_20000,permanent_pincode"
AS202526000001446,0.97417307,0.0,,0.006764764399160444,"flag_fee_exceeds_income,misc_fee,x_course_year"
AS202526000001491,0.9802412,0.0,,0.0025489543990886094,"flag_fee_exceeds_income,vae_reconstruction_prob,misc_fee"
AP202526000001777,0.8905891,1.0,FEE_EXCEED,0.9995933681182356,"flag_fee_exceeds_income,parents_not_alive,misc_fee"
BR202526000001942,0.9785404,0.0,,0.00047098666323305887,"flag_fee_exceeds_income,x_university_id,annual_family_income"
MN202526000001940,0.9817198,0.0,,0.0006720984379395743,"flag_fee_exceeds_income,vae_reconstruction_prob,xii_percentage"
TR202526000002143,0.98144704,0.0,,0.0007598764955689068,"flag_fee_exceeds_income,ip_application_count,xii_percentage"
MN202526000002179,0.976957,0.0,,0.0001999933289630974,"x_university_id,flag_fee_exceeds_income,x_course_year"
TN202526000002214,0.9609313,0.0,,0.00016156802046446753,"permanent_pincode,flag_fee_exceeds_income,annual_family_income"
SK202526000002241,0.8888048,3.0,"X13_X21,X13_FLAG,FEE_EXCEED",0.9999509210318798,"flag_fee_exceeds_income,flag_income_below_20000,religion"
AS202526000002281,0.9869907,0.0,,0.0012458136871877348,"vae_reconstruction_prob,flag_fee_exceeds_income,misc_fee"
DL202526000002360,0.9352418,1.0,FEE_EXCEED,0.999861115365907,"flag_fee_exceeds_income,permanent_pincode,lgd_district_code"
AS202526000002391,0.97957164,0.0,,0.001303685883740187,"flag_fee_exceeds_income,name_similarity_score,mobile_no"
AS202526000002408,0.97787005,0.0,,0.003225283048908237,"entitled_lumpsump_amount,flag_fee_exceeds_income,x_course_year"
AS202526000002470,0.97973895,0.0,,0.00015462085570703036,"misc_fee,annual_family_income,flag_fee_exceeds_income"
MP202526002482410,0.98351103,0.0,,0.00010486471670907862,"x_university_id,flag_fee_exceeds_income,state_verify_by"
SK202526000002582,0.9184634,1.0,FEE_EXCEED,0.9999265256140245,"flag_fee_exceeds_income,x_percentage,vae_reconstruction_prob"
KL202526000002659,0.94269145,0.0,,0.0007330293585641685,"flag_fee_exceeds_income,permanent_pincode,pfms_district_code"
RJ202526000002814,0.94389385,1.0,FEE_EXCEED,0.9999149840631812,"flag_fee_exceeds_income,vae_reconstruction_prob,annual_family_income"
