application_id,vae_reconstruction_prob,rule_violation_score,rule_codes_fired,lgbm_risk_score,top_shap_features
AS202526000000139,0.96694773,0.0,,0.001967166014281244,"x_course_year,flag_fee_exceeds_income,c_course_year"
KA202526000000215,0.9640128,1.0,FEE_EXCEED,0.9997822810573511,"flag_fee_exceeds_income,misc_fee,mobile_no"
BR202526000000246,0.9816739,0.0,,0.07311862442141036,"x_university_id,permanent_pincode,flag_fee_exceeds_income"
DL202526000000318,0.8969714,1.0,FEE_EXCEED,0.9998574236534336,"flag_fee_exceeds_income,x_course_year,x_university_id"
AS202526000000351,0.9504166,0.0,,0.0028469663043434036,"flag_fee_exceeds_income,c_institution_id,vae_reconstruction_prob"
AS202526000000328,0.9581305,0.0,,0.010992635422173378,"flag_fee_exceeds_income,x_course_year,x_university_id"
DD202526000000401,0.95950496,0.0,,0.005196715787089249,"x_course_year,x_percentage,domicile_state_id"
AS202526000000568,0.9816014,0.0,,0.0013129961920664293,"x_course_year,flag_fee_exceeds_income,age_at_registration"
JK202526000000610,0.93515986,0.0,,0.0009562242740495984,"flag_fee_exceeds_income,vae_reconstruction_prob,x_course_year"
KA202526001320735,0.9326134,1.0,UW,0.9989592188947909,"flag_income_below_20000,x_course_year,vae_reconstruction_prob"
RJ202526000000656,0.91526264,1.0,FEE_EXCEED,0.9998630543614832,"flag_fee_exceeds_income,annual_family_income,x_course_year"
KA202526000000645,0.9566483,1.0,FEE_EXCEED,0.9999109230180417,"flag_fee_exceeds_income,vae_reconstruction_prob,age_at_registration"
WB202526000000650,0.9857176,0.0,,4.7720855931298634e-05,"vae_reconstruction_prob,x_university_id,flag_fee_exceeds_income"
SK202526000000669,0.937456,1.0,UW,0.9993647503606173,"flag_income_below_20000,religion,vae_reconstruction_prob"
KA202526000000856,0.95923173,1.0,FEE_EXCEED,0.9999561190667399,"flag_fee_exceeds_income,age_at_registration,vae_reconstruction_prob"
KL202526000000970,0.949593,1.0,FEE_EXCEED,0.9998614450034479,"flag_fee_exceeds_income,x_course_year,vae_reconstruction_prob"
GJ202526000001252,0.98466533,0.0,,0.001087492667636173,"flag_fee_exceeds_income,vae_reconstruction_prob,misc_fee"
RJ202526000818485,0.9510782,0.0,,0.0004232825971130693,"permanent_pincode,flag_fee_exceeds_income,x_course_year"
UP202526000872580,0.9626503,0.0,,0.002707401360666491,"permanent_pincode,x_university_id,flag_fee_exceeds_income"
JK202526000001308,0.90732896,5.0,"UW,YF,YF_FLAG,FEE_EXCEED",0.9999955928723028,"flag_fee_exceeds_income,flag_income_below_20000,is_applicant_name_eq_father"
AS202526000001446,0.9733266,0.0,,0.026215380233985612,"flag_fee_exceeds_income,x_course_year,annual_family_income"
AS202526000001491,0.9819012,0.0,,0.0013713102271134337,"flag_fee_exceeds_income,vae_reconstruction_prob,misc_fee"
AP202526000001777,0.9276566,1.0,FEE_EXCEED,0.9998541793928286,"flag_fee_exceeds_income,pfms_district_code,vae_reconstruction_prob"
BR202526000001942,0.9765898,0.0,,0.00073853240657689,"x_course_year,x_university_id,flag_fee_exceeds_income"
MN202526000001940,0.9823687,0.0,,0.0006486355807312857,"flag_fee_exceeds_income,vae_reconstruction_prob,x_university_id"
TR202526000002143,0.9801736,0.0,,0.0017727092405130202,"ip_to_mobile_ratio,flag_fee_exceeds_income,xii_university_id"
MN202526000002179,0.97684574,0.0,,0.0011829254278187913,"flag_fee_exceeds_income,x_course_year,x_university_id"
TN202526000002214,0.9408201,3.0,"YF,YF_FLAG",0.9953387046642667,"is_applicant_name_eq_father,name_similarity_score,vae_reconstruction_prob"
SK202526000002241,0.89132535,3.0,"X13_X21,X13_FLAG,FEE_EXCEED",0.9999558281045564,"flag_fee_exceeds_income,flag_income_below_20000,religion"
AS202526000002281,0.98555046,0.0,,0.0006701229030285507,"vae_reconstruction_prob,flag_fee_exceeds_income,x_university_id"
DL202526000002360,0.9335029,1.0,FEE_EXCEED,0.9998277228651103,"flag_fee_exceeds_income,x_university_id,vae_reconstruction_prob"
AS202526000002391,0.97873837,0.0,,0.002397166607396386,"flag_fee_exceeds_income,x_university_id,c_institution_id"
AS202526000002408,0.9773956,0.0,,0.006008869235420811,"flag_fee_exceeds_income,x_course_year,mobile_no"
AS202526000002470,0.9736571,0.0,,0.0003377014554208171,"annual_family_income,flag_fee_exceeds_income,x_university_id"
MP202526002482410,0.95905465,0.0,,0.00046514191830687637,"flag_fee_exceeds_income,x_university_id,x_course_year"
SK202526000002582,0.9106822,1.0,FEE_EXCEED,0.9996917176924565,"flag_fee_exceeds_income,x_course_year,misc_fee"
KL202526000002659,0.9407968,0.0,,0.0007567002282278304,"flag_fee_exceeds_income,permanent_pincode,village_id"
RJ202526000002814,0.94705254,1.0,FEE_EXCEED,0.9996682357083431,"flag_fee_exceeds_income,misc_fee,annual_family_income"
AS202526000002850,0.9712304,0.0,,0.003869748970271027,"c_course_id,flag_fee_exceeds_income,x_university_id"
BR202526000002883,0.9409447,0.0,,0.3638243933716111,"x_university_id,state_verify_by,flag_fee_exceeds_income"
AS202526000002875,0.98126554,0.0,,0.023933690309464427,"flag_fee_exceeds_income,x_course_year,x_percentage"
KA202526000002952,0.96327335,1.0,FEE_EXCEED,0.9998572509641247,"flag_fee_exceeds_income,age_at_registration,permanent_pincode"
AS202526000006613,0.97521675,0.0,,0.013543979444534178,"flag_fee_exceeds_income,x_course_year,c_course_id"
MN202526000003484,0.9722084,0.0,,0.00025373722640699946,"religion,flag_fee_exceeds_income,x_university_id"
TS202526001425285,0.9641957,0.0,,0.0019586977019141806,"flag_fee_exceeds_income,x_percentage,entitled_lumpsump_amount"
PB202526000003515,0.97784746,0.0,,0.0002630203196064847,"flag_fee_exceeds_income,x_university_id,permanent_pincode"
HP202526000003599,0.9552329,1.0,FEE_EXCEED,0.9999313553281912,"flag_fee_exceeds_income,permanent_pincode,vae_reconstruction_prob"
MH202526000003660,0.92246103,3.0,"X13_X21,X13_FLAG,FEE_EXCEED",0.9999926009238843,"flag_fee_exceeds_income,flag_income_below_20000,vae_reconstruction_prob"
PB202526000003581,0.9761367,0.0,,0.000627716903263443,"flag_fee_exceeds_income,x_university_id,x_percentage"
SK202526000003563,0.9198744,1.0,FEE_EXCEED,0.9996998200754597,"flag_fee_exceeds_income,religion,x_course_year"
TR202526000003727,0.94532084,0.0,,0.000916965789639282,"flag_fee_exceeds_income,x_university_id,c_course_year"
TN202526000003656,0.96148187,0.0,,0.0031925710761151766,"flag_fee_exceeds_income,annual_family_income,permanent_pincode"
MH202526000003710,0.97014403,0.0,,0.005129077230603023,"flag_fee_exceeds_income,permanent_pincode,x_course_year"
BR202526000003746,0.9831298,0.0,,0.04844555704673495,"x_university_id,flag_fee_exceeds_income,permanent_pincode"
WB202526000003939,0.9384813,1.0,FEE_EXCEED,0.9997148415256198,"flag_fee_exceeds_income,annual_family_income,x_course_year"
BR202526000003927,0.98349607,0.0,,0.14167492879723625,"x_university_id,c_course_id,state_verify_by"
WB202526000004002,0.97180855,0.0,,0.0004075658982909875,"flag_fee_exceeds_income,x_university_id,x_course_year"
MN202526000004022,0.95247394,0.0,,0.0029400383847633443,"religion,flag_fee_exceeds_income,vae_reconstruction_prob"
UT202526000004232,0.95279884,1.0,FEE_EXCEED,0.9994760775905666,"flag_fee_exceeds_income,x_university_id,misc_fee"
AS202526000004346,0.98369586,0.0,,0.0003627377585077517,"misc_fee,flag_fee_exceeds_income,c_institution_id"
TN202526000004380,0.98000765,0.0,,0.0015247295907037807,"flag_fee_exceeds_income,x_university_id,xii_university_id"
RJ202526000004445,0.9375912,0.0,,0.01332276230279785,"permanent_pincode,flag_fee_exceeds_income,x_course_year"
AS202526000004535,0.9852597,0.0,,0.00852527579125473,"flag_fee_exceeds_income,xii_university_id,x_university_id"
KL202526000004581,0.97166187,0.0,,0.0006962257153621755,"flag_fee_exceeds_income,x_university_id,age_at_registration"
AS202526000004611,0.9579689,0.0,,0.0010682897516238101,"flag_fee_exceeds_income,x_course_year,x_university_id"
UP202526000004715,0.9705596,0.0,,0.007029449420072718,"flag_fee_exceeds_income,permanent_pincode,fee_income_ratio"
AS202526000004828,0.9773538,0.0,,0.0007823251117333129,"flag_fee_exceeds_income,annual_family_income,x_university_id"
