application_id,vae_reconstruction_prob,rule_violation_score,rule_codes_fired,lgbm_risk_score,top_shap_features
AS202526000000139,0.96694773,0.0,,0.0008834750447224132,"c_course_year,x_university_id,annual_family_income"
KA202526000000215,0.9640128,0.0,,0.0008273477828701299,"x_course_year,permanent_pincode,mobile_no"
BR202526000000246,0.9816739,0.0,,0.05154538370103606,"x_university_id,permanent_pincode,xii_university_id"
DL202526000000318,0.8969714,0.0,,0.0002443531378323074,"x_course_year,c_course_year,permanent_pincode"
AS202526000000351,0.9504166,0.0,,0.0036173633868474124,"xii_university_id,x_course_year,vae_reconstruction_prob"
AS202526000000328,0.9581305,0.0,,0.009893866585569,"x_course_year,aadhaar_vault_ref_token,x_university_id"
DD202526000000401,0.95950496,0.0,,0.0004751110193899718,"x_course_year,permanent_pincode,tution_fee"
AS202526000000568,0.9816014,0.0,,0.0005891137288382618,"x_course_year,c_course_year,age_at_registration"
JK202526000000610,0.93515986,0.0,,0.00041471369342716035,"c_course_year,admission_fee,permanent_pincode"
KA202526001320735,0.9326134,1.0,UW,0.9995859201164098,"flag_income_below_20000,state_verify_by,c_course_year"
RJ202526000000656,0.91526264,0.0,,8.480863660388589e-05,"annual_family_income,x_course_year,admission_fee"
KA202526000000645,0.9566483,0.0,,0.00026542873781778523,"tution_fee,xii_university_id,permanent_pincode"
WB202526000000650,0.9857176,0.0,,5.995114632980123e-05,"x_course_year,name_similarity_score,x_university_id"
SK202526000000669,0.937456,1.0,UW,0.999392765831935,"flag_income_below_20000,religion,entitled_lumpsump_amount"
KA202526000000856,0.95923173,0.0,,0.0005171028117446553,"c_institution_id,vae_reconstruction_prob,xii_percentage"
KL202526000000970,0.949593,0.0,,0.0005253440831212273,"x_course_year,permanent_pincode,x_university_id"
GJ202526000001252,0.98466533,0.0,,0.0007387116754813091,"permanent_pincode,misc_fee,xii_university_id"
RJ202526000818485,0.9510782,0.0,,0.0003558983743835282,"mobile_no,x_course_year,permanent_pincode"
UP202526000872580,0.9626503,0.0,,0.0022950879476417454,"permanent_pincode,x_university_id,x_course_year"
JK202526000001308,0.90732896,4.0,"UW,YF,YF_FLAG",0.9996552282833119,"flag_income_below_20000,is_applicant_name_eq_father,x_course_year"
AS202526000001446,0.9733266,0.0,,0.019765616103258506,"x_course_year,misc_fee,entitled_lumpsump_amount"
AS202526000001491,0.9819012,0.0,,0.002487171571383718,"misc_fee,x_university_id,flag_income_below_20000"
AP202526000001777,0.9276566,0.0,,0.00017762999267256817,"parent_occupation,xii_university_id,permanent_pincode"
BR202526000001942,0.9765898,0.0,,0.0007238752395331672,"annual_family_income,x_course_year,x_university_id"
MN202526000001940,0.9823687,0.0,,0.00035463878160720875,"xii_university_id,xii_percentage,x_course_year"
TR202526000002143,0.9801736,0.0,,0.0009992383809869063,"xii_university_id,x_course_year,name_similarity_score"
MN202526000002179,0.97684574,0.0,,0.0014455498664316165,"c_course_year,flag_income_below_20000,entitled_lumpsump_amount"
TN202526000002214,0.9408201,3.0,"YF,YF_FLAG",0.996077384841746,"is_applicant_name_eq_father,x_university_id,vae_reconstruction_prob"
SK202526000002241,0.89132535,2.0,"X13_X21,X13_FLAG",0.9996668875272626,"flag_income_below_20000,religion,c_course_year"
AS202526000002281,0.98555046,0.0,,0.0021188422348701803,"vae_reconstruction_prob,x_course_year,misc_fee"
DL202526000002360,0.9335029,0.0,,0.0006917829359028725,"xii_university_id,permanent_pincode,admission_fee"
AS202526000002391,0.97873837,0.0,,0.0006028097182079286,"x_course_year,x_university_id,name_similarity_score"
AS202526000002408,0.9773956,0.0,,0.00506509130816426,"x_course_year,mobile_no,tution_fee"
AS202526000002470,0.9736571,0.0,,0.0005226010458030371,"annual_family_income,misc_fee,x_course_year"
MP202526002482410,0.95905465,0.0,,0.0003556204811520736,"x_course_year,age_at_registration,x_university_id"
SK202526000002582,0.9106822,0.0,,0.00040252384503132856,"c_course_year,x_course_year,xii_university_id"
KL202526000002659,0.9407968,0.0,,0.0009133483409502828,"x_course_year,xii_percentage,permanent_pincode"
RJ202526000002814,0.94705254,0.0,,8.48561564322658e-05,"misc_fee,xii_university_id,permanent_pincode"
AS202526000002850,0.9712304,0.0,,0.0025258519404910426,"x_course_year,c_course_id,x_university_id"
BR202526000002883,0.9409447,0.0,,0.36203441054126184,"x_university_id,xii_university_id,permanent_pincode"
AS202526000002875,0.98126554,0.0,,0.030352562557746897,"x_course_year,age_at_registration,flag_income_below_20000"
KA202526000002952,0.96327335,0.0,,0.0027333350855479133,"tution_fee,permanent_pincode,vae_reconstruction_prob"
AS202526000006613,0.97521675,0.0,,0.022244226789038698,"x_course_year,flag_income_below_20000,x_university_id"
MN202526000003484,0.9722084,0.0,,0.0008071707092399164,"religion,xii_university_id,x_course_year"
TS202526001425285,0.9641957,0.0,,0.0025700040108348155,"x_course_year,permanent_pincode,x_percentage"
PB202526000003515,0.97784746,0.0,,0.00022293535316008354,"x_course_year,permanent_pincode,x_university_id"
HP202526000003599,0.9552329,0.0,,0.00019785719786132022,"permanent_pincode,x_course_year,x_university_id"
MH202526000003660,0.92246103,2.0,"X13_X21,X13_FLAG",0.9995184142649118,"flag_income_below_20000,vae_reconstruction_prob,permanent_pincode"
PB202526000003581,0.9761367,0.0,,0.00023496175904542268,"x_course_year,permanent_pincode,x_university_id"
SK202526000003563,0.9198744,0.0,,0.0004293042207038023,"religion,xii_university_id,tution_fee"
TR202526000003727,0.94532084,0.0,,0.001129663867702822,"c_course_year,x_course_year,xii_university_id"
