application_id,fraud_category
AS202526000194690,age
MN202526000137973,age
AS202526000216757,age
HR202526000043942,age
BR202526000129708,age
BR202526000138832,age
OR202526000090892,age
MH202526001455457,age
AS202526000100586,age
AS202526000075657,age
AS202526000031636,age
BR202526000108479,age
BR202526000207358,age
KL202526000132336,age
UT202526000138722,age
AS202526000142079,age
AS202526000149671,age
AS202526000189763,age
BR202526000208455,age
AS202526000118712,age
BR202526000077789,age
BR202526000144873,age
TR202526000068564,age
AS202526000167304,age
PB202526000008334,age
JK202526000066172,age
MH202526000105553,age
BR202526000144454,age
GJ202526000152162,age
TS202526001908019,age
AS202526000044247,age
HP202526000085948,age
HP202526000091602,age
HR202526000166023,age
OR202526000021916,age
TN202526000162067,age
BR202526000038803,age
PB202526000062451,age
TS202526000228093,age
AS202526000128616,age
OR202526000179219,age
MH202526000120640,age
TS202526001433539,age
OR202526000274793,age
AS202526000209577,age
NL202526000229812,age
UP202526000016137,age
TS202526001881391,age
BR202526000025935,age
MP202526000101233,age
MN202526000218857,age
BR202526000052142,age
BR202526000089149,age
AS202526000221244,age
HP202526000191737,age
AS202526000090662,age
KA202526000195941,age
BR202526000183045,age
WB202526000059676,age
PB202526000229532,age
WB202526000091169,age
TS202526001418158,age
TS202526001772202,age
BR202526000191156,age
AS202526000145355,age
BR202526000042778,age
AS202526000146511,age
WB202526000100285,age
AS202526000157861,age
BR202526000171439,age
TN202526000196276,age
GJ202526000149923,age
MH202526000182091,age
MH202526000181911,age
HP202526000217769,age
AS202526000146004,age
MP202526001230081,age
HR202526000120126,age
WB202526000078077,age
HP202526000078047,age
AS202526000239034,age
KL202526000088762,age
AS202526000102125,age
KA202526000081154,age
OR202526000097043,age
ML202526000158388,age
AS202526000084542,age
WB202526000112889,age
AS202526000215878,age
AS202526000205628,age
BR202526000196470,age
TR202526000139405,age
PB202526000226617,age
BR202526000147462,age
OR202526001581532,age
AS202526000196540,age
AS202526000134066,age
AS202526000235542,age
AS202526000088125,age
BR202526000100277,age
TN202526000179444,age
AS202526000085317,age
WB202526000057692,age
PB202526000229530,age
MP202526000179505,age
AS202526000081228,age
AS202526000225866,age
KA202526000204492,age
AS202526000147420,age
KL202526000099639,age
UT202526000076773,age
AS202526000099468,age
BR202526000219636,age
GJ202526000114339,age
MP202526000064509,age
HP202526000230485,age
AS202526000099065,age
MP202526000171514,age
MN202526000119777,age
AS202526000204372,age
SK202526000220462,age
MN202526000099941,age
BR202526000233758,age
AS202526000218213,age
HP202526000157991,age
BR202526000226762,age
MH202526000109554,age
MH202526000169155,age
AS202526000154806,age
WB202526000058759,age
TN202526000062855,age
ML202526000158544,age
AS202526000161535,age
KL202526000052614,age
UT202526000170783,age
ML202526000098169,age
PB202526000097208,age
AS202526000047605,age
HP202526000085220,age
AS202526000088678,age
HP202526000127572,age
BR202526000221164,age
AS202526000123658,age
AS202526000191116,age
AS202526000122657,age
BR202526000081776,age
BR202526000236237,age
AS202526000018147,age
AS202526000203726,age
HR202526000128948,age
DD202526000225307,age
ML202526000131653,age
MP202526000006763,age
AS202526000141408,age
AS202526000075301,age
AS202526000160041,age
AS202526000169839,age
HP202526000155432,age
BR202526000165453,age
HP202526000192034,age
AS202526000158168,age
KA202526000196555,age
AS202526000044575,age
AS202526000041438,age
AS202526000227994,age
UT202526000219656,age
KA202526000071956,age
TR202526000063235,age
GJ202526000230687,age
BR202526000037481,age
BR202526000129664,age
OR202526000193516,age
AS202526000147079,age
PB202526000165667,age
AS202526000134671,age
AS202526000218787,age
KL202526000088746,age
TS202526000176837,age
MN202526000056855,age
UP202526000128917,age
KL202526000103993,age
HP202526000213222,age
MH202526000220145,age
BR202526000047631,age
MZ202526000162400,age
AS202526000148582,age
WB202526000104696,age
AS202526000236410,age
UT202526000182491,income
AS202526000176555,income
AS202526000120344,income
UT202526000166893,income
KA202526000174027,income
AS202526000163340,income
AS202526000094062,income
TR202526000180397,income
KL202526000093452,income
BR202526000168542,income
AS202526000191557,income
BR202526000156237,income
KA202526000052424,income
AS202526000177774,income
MH202526000114368,income
WB202526000037566,income
BR202526000123878,income
AS202526000121518,income
AS202526000101993,income
MP202526000086029,income
BR202526000178700,income
OR202526000952939,income
AS202526000109074,income
AS202526000152821,income
BR202526000125604,income
PB202526000041078,income
BR202526000165235,income
WB202526000095636,income
AS202526000127277,income
BR202526000078914,income
BR202526000119211,income
TS202526001419135,income
AP202526000115734,income
PB202526000129195,income
BR202526000089710,income
BR202526000184219,income
HP202526000127308,income
MH202526000100262,income
AS202526000201541,income
BR202526000179269,income
ML202526000221528,income
BR202526000140617,income
MH202526000169664,income
BR202526000177568,income
GA202526000109711,income
AS202526000184022,income
AS202526000129166,income
GJ202526000060521,income
UT202526000187563,income
AS202526000082801,income
GJ202526000073157,income
KA202526000045254,income
WB202526000070895,income
BR202526000127711,income
NL202526000236688,income
BR202526000207764,income
OR202526000086228,income
OR202526000206236,income
BR202526000215850,income
AS202526000099561,income
MN202526000191834,income
TN202526000201175,income
AS202526000157232,income
PB202526000168652,income
WB202526000055677,income
BR202526000164929,income
ML202526000190406,income
AS202526000098763,income
BR202526000049647,income
HP202526000060796,income
MH202526000090237,income
AS202526000197696,income
AS202526000170260,income
AS202526000146079,income
BR202526000140779,income
CH202526000191633,income
ML202526000205556,income
KA202526000236069,income
GJ202526000107313,income
BR202526000067090,income
BR202526000102637,income
TN202526000170483,income
WB202526000211154,income
BR202526000193544,income
KA202526000205471,income
GJ202526000124725,income
BR202526000090888,income
KA202526000182007,income
MP202526000100664,income
BR202526000216192,income
GJ202526000094623,income
BR202526000134469,income
AS202526000011449,income
OR202526000199622,income
GJ202526000025387,income
MN202526000233329,income
TR202526000197627,income
BR202526000157928,income
TN202526000044089,income
KA202526000235755,income
AS202526000065109,income
AS202526000114586,income
HP202526000181866,income
KA202526000101948,income
KA202526000100853,income
GJ202526000062124,income
UT202526000166558,income
OR202526001868151,income
UP202526000173569,income
AS202526000131209,income
AP202526000018056,income
BR202526000220867,income
AS202526000216721,income
AS202526000238781,income
BR202526000185488,income
BR202526000216304,income
GJ202526000229610,income
BR202526000063720,income
BR202526000218999,income
MP202526000079601,income
PB202526000234110,income
