application_id,vae_reconstruction_prob,rule_violation_score,rule_codes_fired,lgbm_risk_score,top_shap_features
AS202526000000139,0.9871063,0.0,,0.0011435559780746357,"flag_fee_exceeds_income,x_course_year,vae_reconstruction_prob"
KA202526000000215,0.9643413,1.0,FEE_EXCEED,0.9997732167523558,"flag_fee_exceeds_income,misc_fee,x_course_year"
BR202526000000246,0.9826385,0.0,,0.104226349942229,"x_university_id,flag_fee_exceeds_income,permanent_pincode"
DL202526000000318,0.9162888,1.0,FEE_EXCEED,0.9998457078580457,"flag_fee_exceeds_income,x_course_year,misc_fee"
AS202526000000351,0.931731,0.0,,0.005194644736371712,"flag_fee_exceeds_income,vae_reconstruction_prob,state_verify_by"
AS202526000000328,0.9831656,0.0,,0.0040864488623578365,"flag_fee_exceeds_income,x_course_year,x_percentage"
DD202526000000401,0.9604245,0.0,,0.0023052090267704772,"flag_fee_exceeds_income,x_course_year,permanent_pincode"
AS202526000000568,0.9818333,0.0,,0.0018500799114335898,"x_course_year,flag_fee_exceeds_income,age_at_registration"
JK202526000000610,0.9382478,0.0,,0.0005251012039777983,"flag_fee_exceeds_income,village_id,x_course_year"
KA202526001320735,0.9412159,1.0,UW,0.9951017816829718,"flag_income_below_20000,x_course_year,flag_fee_exceeds_income"
RJ202526000000656,0.91669416,1.0,FEE_EXCEED,0.9998502879693738,"flag_fee_exceeds_income,annual_family_income,misc_fee"
KA202526000000645,0.95995003,1.0,FEE_EXCEED,0.9998323815256589,"flag_fee_exceeds_income,x_course_year,permanent_pincode"
WB202526000000650,0.9846527,0.0,,9.269172663898738e-05,"flag_fee_exceeds_income,x_university_id,x_percentage"
SK202526000000669,0.93818724,1.0,UW,0.9994920109436641,"flag_income_below_20000,flag_fee_exceeds_income,religion"
KA202526000000856,0.96087015,1.0,FEE_EXCEED,0.9999003675921603,"flag_fee_exceeds_income,misc_fee,c_institution_id"
KL202526000000970,0.9401303,1.0,FEE_EXCEED,0.9998834246342333,"flag_fee_exceeds_income,x_percentage,x_course_year"
GJ202526000001252,0.984531,0.0,,0.0013268553348953784,"flag_fee_exceeds_income,misc_fee,x_percentage"
RJ202526000818485,0.95429057,0.0,,0.0002966213698966215,"flag_fee_exceeds_income,permanent_pincode,x_university_id"
UP202526000872580,0.9652037,0.0,,0.0034523405807349414,"permanent_pincode,x_university_id,flag_fee_exceeds_income"
JK202526000001308,0.9437792,1.0,FEE_EXCEED,0.9996699842443596,"flag_fee_exceeds_income,c_institution_id,mobile_no"
AS202526000001446,0.9746258,0.0,,0.05860645968404258,"flag_fee_exceeds_income,x_course_year,annual_family_income"
AS202526000001491,0.9761583,0.0,,0.0007089676958967596,"flag_fee_exceeds_income,x_course_year,misc_fee"
AP202526000001777,0.9346297,1.0,FEE_EXCEED,0.9998896752409719,"flag_fee_exceeds_income,vae_reconstruction_prob,ip_application_count"
BR202526000001942,0.97939306,0.0,,0.0006192655826531779,"flag_fee_exceeds_income,annual_family_income,x_course_year"
MN202526000001940,0.9828729,0.0,,0.0014998615646501868,"flag_fee_exceeds_income,vae_reconstruction_prob,state_verify_by"
TR202526000002143,0.9812298,0.0,,0.002751383846745936,"ip_application_count,flag_fee_exceeds_income,name_similarity_score"
MN202526000002179,0.9744208,0.0,,0.0005926134672574132,"flag_fee_exceeds_income,x_course_year,annual_family_income"
TN202526000002214,0.94480056,1.5,FM_ENG,0.9969729807920363,"is_father_name_eq_mother,flag_fee_exceeds_income,x_percentage"
SK202526000002241,0.89421403,3.0,"X13_X21,X13_FLAG,FEE_EXCEED",0.9999622647426334,"flag_fee_exceeds_income,flag_income_below_20000,religion"
AS202526000002281,0.977858,0.0,,0.00452264643786725,"flag_fee_exceeds_income,state_verify_by,ip_application_count"
DL202526000002360,0.9260723,1.0,FEE_EXCEED,0.9998779970838945,"flag_fee_exceeds_income,permanent_pincode,vae_reconstruction_prob"
AS202526000002391,0.9797617,0.0,,0.001523714870528701,"flag_fee_exceeds_income,c_institution_id,x_university_id"
AS202526000002408,0.978423,0.0,,0.0031348225436096974,"flag_fee_exceeds_income,x_course_year,entitled_lumpsump_amount"
AS202526000002470,0.9678069,0.0,,0.0003244997858967867,"annual_family_income,flag_fee_exceeds_income,misc_fee"
MP202526002482410,0.96881664,0.0,,0.00014008628432550906,"flag_fee_exceeds_income,state_verify_by,x_university_id"
